index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12
SuperKhalimFlail;0;0;Flail;ltng-min;;1;1;ltng-max;;40;40;Attack Speed %;;50;50;Attack Rating;;40;40;Manasteal;;6;6;Lifesteal;;6;6;;;0;0;;;;;;;;;;;;;;;;;;;;
Coldkill;41;32;Hatchet;dmg-cold;50;40;40;res-cold;;15;15;res-cold-max;;15;15;Attack Speed %;;30;30;Hit-Skill;45;10;10;Gethit-Skill;44;10;5;Damage %;;150;190;;;;;;;;;;;;;;;;;;;;
Butcher's Pupil;43;34;Cleaver;Deadly Strike;;35;35;Openwounds;;25;25;Damage %;;150;200;Indestructable;;1;1;Attack Speed %;;30;30;dmg-norm;;30;50;;;;;;;;;;;;;;;;;;;;;;;;
Islestrike;47;40;Twin Axe;Druid Skills;;2;2;Strength;;10;10;Dexterity;;10;10;Vitality;;10;10;Energy;;10;10;Armor vs Missile;;50;50;Crushing Blow;;25;25;Damage %;;170;190;Class Skill;233;1;1;Class Skill;248;1;1;;;;;;;;
Pompe's Wrath;49;42;Crowbill;Hit-Skill;244;4;8;Slow Target %;;50;50;dmg-fire;;35;150;Knockback;;1;1;Damage %;;140;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guardian Naga;52;44;Naga;Hit-Skill;92;5;8;Thorns;;15;15;res-pois;;30;30;Damage %;;150;180;dmg-pois;250;256;256;dmg-max;;20;20;;;;;;;;;;;;;;;;;;;;;;;;
Warlord's Trust;40;31;Military Axe;Armor Class;;75;75;Replenish Life;;20;20;vit/lvl;4;;;All Resists;;10;10;rep-dur;25;;;Damage %;;175;175;;;;;;;;;;;;;;;;;;;;;;;;
Spellsteel;43;34;Bearded Axe;Reduce Req %;;-60;-60;Mana Points;;100;100;red-mag;;12;15;Cast Speed %;;10;10;Damage %;;165;165;regen-mana;;25;25;Charges;54;20;1;Charges;87;30;3;Charges;101;100;10;Charges;225;60;12;;;;;;;;
Stormrider;45;38;Tabar;Hit-Skill;53;5;10;Hit-Skill;38;10;0;dmg-ltng;;1;200;dmg-norm;;35;75;Damage %;;100;100;Extra Durability;;50;50;Lightning Thorns;;15;15;Gethit-Skill;38;15;5;;;;;;;;;;;;;;;;
Boneslayer Blade;46;39;Gothic Axe;att-und/lvl;10;;;dmg-und/lvl;20;;;Strength;;8;8;Attack Speed %;;20;20;Attack Bonus %;;35;35;Damage %;;180;220;Charges;101;200;20;Gethit-Skill;101;50;0;;;;;;;;;;;;;;;;
The Minataur;49;42;Ancient Axe;Blind Target;;2;2;half-freeze;;1;1;Strength;;15;20;Slow Target %;;50;50;Crushing Blow;;30;30;dmg-norm;;20;30;Damage %;;140;200;;;;;;;;;;;;;;;;;;;;
Suicide Branch;38;29;Burnt Wand;Thorns;;25;25;Cast Speed %;;50;50;All Resists;;10;10;Mana %;;10;10;Hitpoints;;40;40;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Carin Shard;40;31;Petrified Wand;hp/lvl;10;;;Cast Speed %;;10;10;mana/lvl;10;;;Hit Recovery %;;30;30;Replenish Life;;5;5;Necro Skills;;1;1;Class Skill Tab;8;2;2;;;;;;;;;;;;;;;;;;;;
Arm of King Leoric;41;32;Tomb Wand;Class Skill Tab;8;2;2;Gethit-Skill;93;5;10;mana/lvl;10;;;Gethit-Skill;87;10;2;Cast Speed %;;10;10;Class Skill Tab;7;2;2;Class Skill;77;2;2;Class Skill;80;2;2;Class Skill;69;3;3;Class Skill;70;3;3;;;;;;;;
Blackhand Key;45;38;Grave Wand;Class Skill Tab;6;1;1;dmg-to-mana;;20;20;Hitpoints;;50;50;Light Radius;;-2;-2;Cast Speed %;;30;30;res-fire;;37;37;Necro Skills;;2;2;Charges;150;30;13;;;;;;;;;;;;;;;;
Dark Clan Crusher;39;30;Cudgel;Druid Skills;;2;2;Dmg % to Demons;;200;200;att-demon;;200;200;Damage %;;195;195;Attack Bonus %;;20;25;demon-heal;;15;15;;;;;;;;;;;;;;;;;;;;;;;;
Zakarum's Hand;42;32;Rune Scepter;Manasteal;;8;8;Ignore Armor;;1;1;regen-mana;;10;10;regen-stam;;15;15;Hit-Skill;59;6;5;Damage %;;180;220;Attack Speed %;;30;30;Class Skill;114;2;2;Class Skill;118;2;2;;;;;;;;;;;;
The Fetid Sprinkler;43;33;Holy Water Sprinkler;Paladin Skills;;2;2;Hit-Skill;87;5;1;Hit-Skill;91;10;1;dmg-pois;100;409;409;Damage %;;160;190;Attack Rating;;150;200;dmg-norm;;15;25;;;;;;;;;;;;;;;;;;;;
Hand of Blessed Light;46;39;Divine Scepter;Paladin Skills;;2;2;Damage %;;130;160;Attack Bonus %;;100;100;Armor Class;;50;50;regen-mana;;15;15;Light Radius;;4;4;dmg-norm;;20;45;Class Skill;101;4;4;Class Skill;121;2;2;Hit-Skill;121;5;4;;;;;;;;
Fleshrender;43;33;Barbed Club;Openwounds;;25;25;Prevent Heal;;1;1;Crushing Blow;;20;20;Deadly Strike;;20;20;dmg-norm;;35;50;Damage %;;130;200;Druid Skills;;1;1;Class Skill Tab;16;2;2;Extra Durability;;20;20;;;;;;;;;;;;
Sureshrill Frost;43;34;Flanged Mace;dmg-cold;125;63;112;nofreeze;;1;1;Damage %;;150;180;dmg-norm;;5;10;Freeze Duration;;3;3;Charges;64;50;9;;;;;;;;;;;;;;;;;;;;;;;;
Moonfall;46;39;Jagged Star;Hit-Skill;56;5;6;dmg-fire;;55;115;red-mag;;9;12;Damage %;;120;150;Light Radius;;2;2;Charges;56;60;11;dmg-norm;;10;15;;;;;;;;;;;;;;;;;;;;
Baezil's Vortex;49;42;Knout;Hit-Skill;48;5;8;dmg-ltng;;1;150;Mana Points;;100;100;res-ltng;;25;25;Damage %;;160;200;Attack Speed %;;20;20;Charges;48;80;15;;;;;;;;;;;;;;;;;;;;
Earthshaker;47;40;Battle Hammer;Hit-Skill;234;5;7;Knockback;;1;1;Attack Speed %;;30;30;Damage %;;180;180;Blind Target;;1;1;Class Skill Tab;17;3;3;Extra Durability;;50;50;;;;;;;;;;;;;;;;;;;;
Bloodtree Stump;52;44;War Club;Crushing Blow;;50;50;Damage %;;180;220;All Resists;;20;20;Strength;;25;25;Class Skill Tab;13;2;2;Class Skill;129;3;3;Extra Durability;;40;40;;;;;;;;;;;;;;;;;;;;
The Gavel of Pain;49;42;Martel de Fer;Hit-Skill;66;5;1;Gethit-Skill;76;5;1;Thorns;;26;26;Indestructable;;1;1;dmg-norm;;12;30;Damage %;;130;160;Charges;66;3;8;;;;;;;;;;;;;;;;;;;;
Bloodletter;35;26;Gladius;dmg-norm;;12;45;Attack Rating;;90;90;Lifesteal;;8;8;stamdrain;;10;10;Attack Speed %;;20;20;Damage %;;140;140;Class Skill;127;2;4;Class Skill;151;1;3;Extra Durability;;30;30;;;;;;;;;;;;
Coldsteel Eye;36;27;Cutlass;Blind Target;;1;1;Slow Target %;;30;30;Deadly Strike;;50;50;Extra Durability;;50;50;Damage %;;200;250;Attack Speed %;;20;20;Manasteal;;6;6;;;;;;;;;;;;;;;;;;;;
Hexfire;38;29;Shamshir;Charges;62;36;6;Ignore Armor;;1;1;res-fire;;25;25;res-fire-max;;10;10;dmg-norm;;35;40;Damage %;;140;160;fireskill;;3;3;;;;;;;;;;;;;;;;;;;;
Blade of Ali Baba;40;31;Tulwar;Sockets;3;;;gold%/lvl;20;;;mag%/lvl;8;;;Mana Points;;15;15;Damage %;;60;120;Dexterity;;5;15;;;;;;;;;;;;;;;;;;;;;;;;
Ginther's Rift;42;32;Dimensional Blade;red-mag;;7;12;Attack Speed %;;30;30;rep-dur;20;;;Extra Durability;;40;40;dmg-mag;;50;120;Damage %;;100;150;;;;;;;;;;;;;;;;;;;;;;;;
Headstriker;43;34;Battle Sword;Prevent Heal;;1;1;Strength;;15;15;deadly/lvl;4;;;dmg/lvl;8;;;Damage %;;150;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plague Bearer;45;38;Rune Sword;Hit-Skill;92;5;4;dmg-pois;200;384;384;dmg-norm;;10;45;Damage %;;150;150;res-pois;;45;45;Class Skill;238;5;5;;;;;;;;;;;;;;;;;;;;;;;;
The Atlantian;46;39;Ancient Sword;Extra Durability;;100;100;Armor Class;;75;75;Strength;;16;16;Dexterity;;12;12;Vitality;;8;8;Damage %;;200;250;Paladin Skills;;2;2;Attack Bonus %;;50;50;;;;;;;;;;;;;;;;
Crainte Vomir;46;39;Espadon;Slow Target %;;35;35;dmg-ac;;-70;-70;Faster Movement %;;20;20;Reduce Dmg %;;10;10;Damage %;;160;200;Attack Speed %;;50;50;;;;;;;;;;;;;;;;;;;;;;;;
Bing Sz Wang;47;40;Dacian Falx;Reduce Req %;;-30;-30;dmg-cold;75;50;140;Strength;;20;20;Freeze Duration;;2;2;Hit-Skill;64;5;3;Damage %;;130;160;;;;;;;;;;;;;;;;;;;;;;;;
The Vile Husk;48;41;Tusk Sword;Hit-Skill;66;6;1;dmg-und/lvl;60;;;res-pois;;50;50;dmg-pois;150;426;426;Damage %;;150;200;att-und/lvl;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Cloudcrack;49;42;Gothic Sword;Hit-Skill;121;6;7;dmg-ltng;;1;240;Armor Class;;30;30;Light Radius;;2;2;res-ltng-max;;10;10;Damage %;;150;200;Lightning Thorns;;15;15;Class Skill Tab;10;2;2;Class Skill Tab;11;2;2;;;;;;;;;;;;
Todesfaelle Flamme;50;43;Zweihander;dmg-fire;;50;200;res-fire;;40;40;abs-fire;;10;10;Hit-Skill;47;10;6;Damage %;;120;160;Charges;52;45;10;Charges;51;20;10;;;;;;;;;;;;;;;;;;;;
Swordguard;51;44;Executioner Sword;Reduce Req %;;-50;-50;ac/lvl;40;;;All Resists;;10;20;Armor vs Missile;;100;100;dmg-to-mana;;30;30;Damage %;;170;180;Armor vs Melee;;200;200;Hit Recovery %;;20;20;block;;20;20;;;;;;;;;;;;
Spineripper;35;28;Poignard;Ignore Armor;;1;1;Lifesteal;;8;8;Prevent Heal;;1;1;Attack Speed %;;15;15;Dexterity;;10;10;Damage %;;200;240;dmg-norm;;15;27;Necro Skills;;1;1;;;;;;;;;;;;;;;;
Heart Carver;41;32;Rondel;Deadly Strike;;35;35;Ignore Armor;;1;1;dmg-norm;;15;35;Damage %;;190;240;Class Skill;131;4;4;Class Skill;142;4;4;Class Skill;150;4;4;;;;;;;;;;;;;;;;;;;;
Blackbog's Sharp;43;33;Cinquedeas;Slow Target %;;50;50;Armor Class;;50;50;dmg-norm;;15;45;Attack Speed %;;30;30;dmg-pois;250;500;500;Class Skill;73;5;5;Class Skill;83;4;4;Class Skill;92;4;4;;;;;;;;;;;;;;;;
Stormspike;45;38;Stilleto;dmg-ltng;;1;120;Lightning Thorns;;20;20;Gethit-Skill;38;25;3;Damage %;;150;150;res-ltng/lvl;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Impaler;34;27;War Spear;Ignore Armor;;1;1;Attack Rating;;150;150;Attack Speed %;;20;20;Openwounds;;40;40;Prevent Heal;;1;1;Damage %;;140;170;Class Skill;19;5;5;Class Skill;14;3;3;;;;;;;;;;;;;;;;
Kelpie Snare;38;29;Fuscina;Slow Target %;;75;75;res-fire;;50;50;hp/lvl;10;;;dmg-norm;;30;50;Strength;;10;10;Damage %;;140;180;;;;;;;;;;;;;;;;;;;;;;;;
Soulfeast Tine;40;31;War Fork;Reduce Req %;;-20;-20;Lifesteal;;7;7;Manasteal;;7;7;stamdrain;;20;20;Damage %;;150;190;Attack Rating;;150;250;Extra Durability;;15;15;;;;;;;;;;;;;;;;;;;;
Hone Sundan;42;32;Yari;Sockets;3;;;dmg-norm;;20;40;Crushing Blow;;45;45;rep-dur;10;;;Damage %;;160;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spire of Honor;43;34;Lance;Attack Bonus %;;25;25;Light Radius;;3;3;Replenish Life;;20;20;Hit Recovery %;;20;20;dmg-norm;;20;40;dmg-dem/lvl;12;;;Damage %;;150;200;Class Skill Tab;9;3;3;Armor Class %;;25;25;;;;;;;;;;;;
The Meat Scraper;45;38;Lochaber Axe;Damage %;;150;200;Attack Speed %;;30;30;Lifesteal;;10;10;Openwounds;;50;50;Magic Find %;;25;25;Class Skill Tab;13;3;3;;;;;;;;;;;;;;;;;;;;;;;;
Blackleach Blade;46;39;Bill;Reduce Req %;;-25;-25;Hit-Skill;72;5;5;Light Radius;;-2;-2;Lifesteal;;8;8;dmg/lvl;10;;;Damage %;;100;140;;;;;;;;;;;;;;;;;;;;;;;;
Athena's Wrath;46;39;Battle Scythe;Druid Skills;;1;3;Dexterity;;15;15;Attack Speed %;;30;30;hp/lvl;8;;;dmg/lvl;8;;;Damage %;;150;180;;;;;;;;;;;;;;;;;;;;;;;;
Pierre Tombale Couant;47;40;Partizan;Deadly Strike;;55;55;Barbarian Skills;;3;3;Hit Recovery %;;30;30;Manasteal;;6;6;dmg-norm;;12;20;Damage %;;160;220;Attack Rating;;100;200;;;;;;;;;;;;;;;;;;;;
Husoldal Evo;48;41;Bec-de-Corbin;Replenish Life;;20;20;Attack Rating;;200;250;Prevent Heal;;1;1;dmg-norm;;20;32;Damage %;;160;200;Attack Speed %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;
Grim's Burning Dead;48;42;Grim Scythe;dmg-fire;;131;232;res-fire;;45;45;Damage %;;140;180;Thorns;;8;8;Reduce Req %;;-50;-50;Necro Skills;;3;3;reduce-ac;;50;50;Armor Class %;;20;20;Attack Rating;;200;250;;;;;;;;;;;;
Razorswitch;32;25;Jo Stalf;Cast Speed %;;30;30;Thorns;;15;15;Mana Points;;175;175;Hitpoints;;80;80;red-mag;;15;15;All Resists;;50;50;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;
Ribcracker;34;27;Quarterstaff;dmg-norm;;30;65;Damage %;;200;300;Crushing Blow;;50;50;Dexterity;;15;15;Armor Class;;100;100;Armor Class %;;100;100;Hit Recovery %;;50;50;Attack Speed %;;50;50;Extra Durability;;100;100;;;;;;;;;;;;
Chromatic Ire;40;31;Cedar Staff;Sorceress Skills;;3;3;All Resists;;20;40;Cast Speed %;;20;20;Lightning Thorns;;20;20;Hitpoint % Increase;;20;25;Class Skill;61;1;1;Class Skill;63;1;1;Class Skill;65;1;1;;;;;;;;;;;;;;;;
Warpspear;43;34;Gothic Staff;Sorceress Skills;;3;3;Ignore Armor;;1;1;Class Skill;54;3;3;Class Skill;43;3;3;Class Skill;58;3;3;Armor vs Missile;;250;250;*hit-skill;54;50;1;*gethit-skill;54;25;1;;;;;;;;;;;;;;;;
Skullcollector;45;38;Rune Staff;Mana %;;20;20;Mana per Kill;;20;20;All Skills;;2;2;mag%/lvl;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skystrike;32;25;Edge Bow;dmg-ltng;;1;250;Attack Rating;;100;100;Energy;;10;10;Attack Speed %;;30;30;Damage %;;150;200;Hit-Skill;56;2;6;Amazon Skills;;1;1;;;;;;;;;;;;;;;;;;;;
Riphook;34;27;Razor Bow;Openwounds;;30;30;Damage %;;180;220;Slow Target %;;30;30;Mana Points;;35;35;Attack Speed %;;30;30;Lifesteal;;7;10;;;;;;;;;;;;;;;;;;;;;;;;
Kuko Shakaku;38;29;CedarBow;Class Skill;27;3;3;explosivearrow;;7;7;Damage %;;150;180;pierce;;50;50;dmg-fire;;40;180;Class Skill Tab;0;3;3;;;;;;;;;;;;;;;;;;;;;;;;
Endlesshail;41;32;Double Bow;res-cold;;35;35;Mana Points;;40;40;Armor vs Missile;;50;50;Class Skill;26;3;5;Damage %;;180;220;dmg-cold;75;15;30;;;;;;;;;;;;;;;;;;;;;;;;
Whichwild String;43;34;Short Siege Bow;Hit-Skill;66;2;5;All Resists;;40;40;deadly/lvl;8;;;Damage %;;150;170;magicarrow;;20;20;Sockets;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Cliffkiller;45;38;Long Siege Bow;Amazon Skills;;2;2;Damage %;;190;230;Armor vs Missile;;80;80;Knockback;;1;1;Hitpoints;;50;50;dmg-min;;5;10;dmg-max;;20;30;;;;;;;;;;;;;;;;;;;;
Magewrath;47;40;Rune Bow;Manasteal;;15;15;red-mag;;9;13;Class Skill;22;3;3;Attack Rating;;200;250;Dexterity;;10;10;Blind Target;;1;1;dmg-norm;;25;50;Damage %;;120;150;Amazon Skills;;1;1;;;;;;;;;;;;
Godstrike Arch;50;43;Gothic Bow;Damage %;;200;250;Attack Bonus %;;100;150;Dmg % to Undead;;100;200;Dmg % to Demons;;100;200;Hit-Skill;121;5;7;Attack Speed %;;50;50;Replenish Life;;12;12;;;;;;;;;;;;;;;;;;;;
Langer Briser;35;28;Arbalest;Knockback;;1;1;Damage %;;170;200;Magic Find %;;30;60;Hitpoints;;30;30;dmg-max;;10;30;Openwounds;;33;33;dmg-ltng;;1;212;;;;;;;;;;;;;;;;;;;;
Pus Spiter;41;32;Siege Crossbow;dmg-pois;200;192;192;Hit-Skill;91;4;1;Necro Skills;;2;2;Reduce Req %;;-60;-60;Gethit-Skill;92;9;6;Attack Speed %;;10;10;Damage %;;150;220;att/lvl;10;;;;;;;;;;;;;;;;;;
Buriza-Do Kyanon;55;38;Balista;pierce;;100;100;Dexterity;;35;35;Armor Class;;75;150;dmg/lvl;20;;;Attack Speed %;;80;80;Damage %;;150;200;Freeze Duration;;3;3;dmg-cold;200;32;196;;;;;;;;;;;;;;;;
Demon Machine;53;45;Chu-Ko-Nu;Armor Class;;321;321;Mana Points;;36;36;pierce;;66;66;explosivearrow;;6;6;dmg-max;;66;66;Damage %;;123;123;Attack Rating;;632;632;;;;;;;;;;;;;;;;;;;;
Peasent Crown;32;25;War Hat;Energy;;20;20;Vitality;;20;20;All Skills;;1;1;Faster Movement %;;15;15;Replenish Life;;6;12;Armor Class %;;100;100;;;;;;;;;;;;;;;;;;;;;;;;
Rockstopper;34;27;Sallet;res-ltng;;20;40;Reduce Dmg %;;10;10;Hit Recovery %;;30;30;Armor Class %;;160;220;res-fire;;20;50;res-cold;;20;40;Vitality;;15;15;;;;;;;;;;;;;;;;;;;;
Stealskull;40;31;Casque;Manasteal;;5;5;Lifesteal;;5;5;Hit Recovery %;;10;10;Attack Speed %;;10;10;Armor Class %;;200;240;Magic Find %;;30;50;;;;;;;;;;;;;;;;;;;;;;;;
Darksight Helm;43;33;Basinet;Light Radius;;-4;-4;ac/lvl;16;;;nofreeze;;1;1;Manasteal;;5;5;Gethit-Skill;71;6;3;Charges;264;30;5;res-fire;;20;40;;;;;;;;;;;;;;;;;;;;
Valkiry Wing;48;41;Winged Helm;Armor Class %;;150;200;Faster Movement %;;20;20;Hit Recovery %;;20;20;Amazon Skills;;1;2;Mana per Kill;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crown of Thieves;53;45;Grand Crown;Dexterity;;25;25;Lifesteal;;9;12;Hitpoints;;50;50;Mana Points;;35;35;res-fire;;33;33;Armor Class %;;160;200;Gold Find %;;80;100;;;;;;;;;;;;;;;;;;;;
Blackhorn's Face;45;38;Death Mask;Lightning Thorns;;25;25;Slow Target %;;20;20;Prevent Heal;;1;1;abs-ltng;;20;20;res-ltng;;15;15;Armor Class %;;180;220;;;;;;;;;;;;;;;;;;;;;;;;
Vampiregaze;45;38;Grim Helm;Manasteal;;6;8;Lifesteal;;6;8;stamdrain;;15;15;Reduce Dmg %;;15;20;red-mag;;10;15;Armor Class %;;100;100;dmg-cold;100;6;22;;;;;;;;;;;;;;;;;;;;
The Spirit Shroud;32;25;Ghost Armor;nofreeze;;1;1;All Skills;;1;1;red-mag;;7;11;Replenish Life;;10;10;Armor Class %;;150;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skin of the Vipermagi;32;25;SerpentSkin Armor;Armor Class %;;120;120;All Resists;;20;35;Cast Speed %;;30;30;red-mag;;9;13;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skin of the Flayerd One;34;27;Demonhide Armor;rep-dur;10;;;Replenish Life;;15;25;Extra Durability;;30;30;Lifesteal;;5;7;Armor Class %;;150;190;Thorns;;15;15;;;;;;;;;;;;;;;;;;;;;;;;
Ironpelt;38;29;Tresllised Armor;Extra Durability;;125;125;Hitpoints;;25;25;red-mag;;10;16;Reduce Dmg;;15;20;ac/lvl;24;;;Armor Class %;;50;100;;;;;;;;;;;;;;;;;;;;;;;;
Spiritforge;40;31;Linked Mail;Light Radius;;4;4;hp/lvl;10;;;dmg-fire;;20;65;res-fire;;5;5;Armor Class %;;120;160;Strength;;15;15;Sockets;2;;;;;;;;;;;;;;;;;;;;;;
Crow Caw;42;32;Tigulated Mail;Openwounds;;35;35;Armor Class %;;150;180;Dexterity;;15;15;Hit Recovery %;;15;15;Attack Speed %;;15;15;*charged;221;3;5;;;;;;;;;;;;;;;;;;;;;;;;
Shaftstop;43;33;Mesh Armor;Armor vs Missile;;250;250;Reduce Dmg %;;30;30;Hitpoints;;60;60;Armor Class %;;180;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duriel's Shell;45;38;Cuirass;Strength;;15;15;ac/lvl;10;;;hp/lvl;8;;;Armor Class %;;160;200;res-fire;;20;20;res-ltng;;20;20;res-pois;;20;20;res-cold;;50;50;nofreeze;;1;1;Extra Durability;;100;100;;;;;;;;
Skullder's Ire;46;39;Russet Armor;All Skills;;1;1;mag%/lvl;10;;;Armor Class %;;160;200;Extra Durability;;60;60;red-mag;;10;10;rep-dur;20;;;*vit;;-10;-10;*enr;;-10;-10;;;;;;;;;;;;;;;;
Guardian Angel;49;42;Templar Coat;Light Radius;;4;4;Paladin Skills;;1;1;Armor Class %;;180;200;block2;;30;30;res-all-max;;15;15;att-dem/lvl;5;;;block;;20;20;;;;;;;;;;;;;;;;;;;;
Toothrow;52;44;Sharktooth Armor;Thorns;;20;40;Armor Class;;40;60;Strength;;10;10;Openwounds;;40;40;res-fire;;15;15;Armor Class %;;160;220;Extra Durability;;15;15;;;;;;;;;;;;;;;;;;;;
Atma's Wail;55;47;Embossed Plate;Dexterity;;15;15;Replenish Life;;10;10;Mana %;;15;15;Hit Recovery %;;30;30;ac/lvl;16;;;Extra Durability;;50;50;Armor Class %;;120;160;Magic Find %;;20;20;;;;;;;;;;;;;;;;
Black Hades;56;49;Chaos Armor;Light Radius;;-2;-2;att-demon;;200;250;half-freeze;;1;1;Sockets;3;;;Armor Class %;;140;200;Dmg % to Demons;;30;60;;;;;;;;;;;;;;;;;;;;;;;;
Corpsemourn;58;51;Ornate Armor;Strength;;8;8;Vitality;;10;10;res-cold;;35;35;Gethit-Skill;76;6;2;Armor Class %;;150;180;dmg-fire;;12;36;Charges;74;40;5;;;;;;;;;;;;;;;;;;;;
Que-Hegan's Wisdon;55;47;Mage Plate;Cast Speed %;;20;20;Mana per Kill;;3;3;red-mag;;6;10;Energy;;15;15;Hit Recovery %;;20;20;Armor Class %;;140;160;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;
Visceratuant;32;25;Defender;Sorceress Skills;;1;1;block2;;30;30;block;;30;30;Armor Class %;;100;150;Lightning Thorns;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mosers Blessed Circle;34;27;Round Shield;All Resists;;25;25;block;;25;25;Sockets;2;;;Armor Class %;;180;220;block2;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stormchaser;40;31;Scutum;dmg-ltng;;1;60;block;;20;20;half-freeze;;1;1;res-ltng;;50;50;Attack Rating;;150;150;Armor Class %;;160;220;block2;;10;10;Gethit-Skill;59;4;6;Gethit-Skill;245;4;5;;;;;;;;;;;;
Tiamat's Rebuke;43;33;Dragon Shield;dmg-cold;150;27;53;dmg-fire;;35;95;dmg-ltng;;1;120;All Resists;;25;35;Armor Class %;;140;200;Gethit-Skill;44;5;9;Gethit-Skill;48;5;7;Gethit-Skill;62;3;6;Extra Durability;;40;40;;;;;;;;;;;;
Kerke's Sanctuary;48;41;Pavise;Reduce Dmg;;11;16;red-mag;;14;18;Replenish Life;;15;15;Armor Class %;;180;240;Extra Durability;;100;100;block;;30;30;All Resists;;20;30;;;;;;;;;;;;;;;;;;;;
Radimant's Sphere;54;46;Ancient Shield;dmg-pois;100;204;204;Gethit-Skill;92;5;5;res-pois;;75;75;Armor Class %;;160;200;block;;20;20;block2;;20;20;Charges;83;40;6;Extra Durability;;20;20;;;;;;;;;;;;;;;;
Lidless Wall;45;38;Grim Shield;Light Radius;;1;1;All Skills;;1;1;Cast Speed %;;20;20;Mana per Kill;;3;5;Armor Class %;;80;130;Energy;;10;10;Mana %;;10;10;;;;;;;;;;;;;;;;;;;;
Lance Guard;40;31;Barbed Shield;Hitpoints;;50;50;Hit Recovery %;;30;30;dmg-to-mana;;15;15;Thorns;;47;47;Armor Class %;;70;120;Deadly Strike;;20;20;;;;;;;;;;;;;;;;;;;;;;;;
Venom Grip;32;25;Demonhide Gloves;res-pois;;30;30;res-pois-max;;5;5;dmg-pois;100;153;153;Crushing Blow;;5;5;Lifesteal;;5;5;Armor Class;;15;25;Armor Class %;;130;160;;;;;;;;;;;;;;;;;;;;
Gravepalm;34;28;Sharkskin Gloves;Energy;;10;10;Strength;;10;10;Dmg % to Undead;;100;200;att-undead;;100;200;Armor Class %;;140;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ghoulhide;41;32;Heavy Bracers;att-und/lvl;16;;;dmg-und/lvl;16;;;Manasteal;;4;5;Hitpoints;;20;20;Armor Class %;;150;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lavagout;46;39;Battle Guantlets;res-fire;;24;24;half-freeze;;1;1;Hit-Skill;52;2;10;Attack Speed %;;20;20;Armor Class %;;150;200;dmg-fire;;13;46;Extra Durability;;20;20;;;;;;;;;;;;;;;;;;;;
Hellmouth;51;43;War Gauntlets;dmg-fire;;15;72;abs-fire;;15;15;Armor Class %;;150;200;Extra Durability;;15;15;Hit-Skill;56;2;4;Hit-Skill;225;4;12;;;;;;;;;;;;;;;;;;;;;;;;
Infernostride;32;25;Demonhide Boots;dmg-fire;;12;33;Faster Movement %;;20;20;res-fire-max;;10;10;res-fire;;30;30;Light Radius;;2;2;Armor Class %;;120;150;Gold Find %;;40;70;Armor Class;;15;15;Gethit-Skill;46;5;8;;;;;;;;;;;;
Waterwalk;35;28;Sharkskin Boots;Armor vs Missile;;100;100;Faster Movement %;;20;20;Dexterity;;15;15;Armor Class %;;180;210;Hitpoints;;45;65;Stamina Points;;40;40;res-fire-max;;5;5;regen-stam;;50;50;;;;;;;;;;;;;;;;
Silkweave;41;32;Mesh Boots;Armor Class %;;150;190;Mana per Kill;;5;5;Armor vs Missile;;200;200;Mana %;;10;10;Faster Movement %;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wartraveler;46;39;Battle Boots;Vitality;;10;10;Strength;;10;10;Magic Find %;;30;50;Extra Durability;;30;30;Faster Movement %;;25;25;Armor Class %;;150;190;dmg-norm;;15;25;Thorns;;5;10;stamdrain;;40;40;;;;;;;;;;;;
Gorerider;51;43;War Boots;Reduce Req %;;-25;-25;Deadly Strike;;15;15;Faster Movement %;;30;30;Crushing Blow;;15;15;Openwounds;;10;10;Armor Class %;;160;200;Extra Durability;;10;10;Stamina Points;;20;20;;;;;;;;;;;;;;;;
